ID Pedido;ID Produto;Quantidade;ID Veículo;Status do pedido;Data da compra;Data de entrega;Data previsão;Latitude;Longitude;UF da entrega
1;32;3;19;Entregue;1/4/21 21:15;22/01/2021 21:15;23/01/2021 21:15;-22.19;-48.79;SP
2;50;9;42;Entregue;1/5/21 0:15;14/01/2021 00:15;25/01/2021 00:15;-22.19;-48.79;SP
3;39;3;19;Entregue;1/13/21 15:24;20/01/2021 15:24;02/02/2021 15:24;-20.51;-54.54;MS
4;39;1;16;Entregue;1/5/21 12:16;16/01/2021 12:16;23/01/2021 12:16;-6.6;-42.28;PI
5;19;7;14;Entregue;1/2/21 22:07;17/01/2021 22:07;18/01/2021 22:07;-22.25;-42.66;RJ
6;27;4;9;Entregue;1/3/21 9:44;19/01/2021 09:44;22/01/2021 09:44;-22.19;-48.79;SP
7;42;1;29;Entregue;1/3/21 16:56;22/01/2021 16:56;22/01/2021 16:56;-15.83;-47.86;DF
8;49;6;5;Entregue;1/3/21 21:01;14/01/2021 21:01;23/01/2021 21:01;-3.79;-52.48;PA
9;65;5;14;Entregue;1/3/21 21:13;18/01/2021 21:13;20/01/2021 21:13;-22.25;-42.66;RJ
10;3;5;2;Entregue;1/3/21 22:06;16/01/2021 22:06;19/01/2021 22:06;-3.79;-52.48;PA
11;6;3;12;Entregue;1/3/21 22:31;16/01/2021 22:31;18/01/2021 22:31;-22.25;-42.66;RJ
12;14;10;18;Entregue;1/3/21 22:44;08/01/2021 22:44;21/01/2021 22:44;-19.19;-40.34;ES
13;5;2;36;Entregue;1/3/21 22:51;20/01/2021 22:51;21/01/2021 22:51;-22.25;-42.66;RJ
14;29;8;36;Entregue;1/4/21 9:06;09/01/2021 09:06;24/01/2021 09:06;1.41;-51.77;AP
15;32;7;22;Entregue;1/4/21 9:16;10/01/2021 09:16;20/01/2021 09:16;-22.25;-42.66;RJ
16;58;8;22;Entregue;1/4/21 9:59;12/01/2021 09:59;21/01/2021 09:59;-22.19;-48.79;SP
17;24;8;35;Entregue;1/4/21 10:05;18/01/2021 10:05;21/01/2021 10:05;-5.2;-39.53;CE
18;54;6;36;Entregue;1/4/21 10:16;18/01/2021 10:16;22/01/2021 10:16;-22.19;-48.79;SP
19;12;1;5;Entregue;1/4/21 10:41;21/01/2021 10:41;24/01/2021 10:41;-6.6;-42.28;PI
20;13;10;25;Entregue;1/4/21 11:03;11/01/2021 11:03;22/01/2021 11:03;-22.25;-42.66;RJ
21;55;3;36;Entregue;1/4/21 11:44;21/01/2021 11:44;21/01/2021 11:44;-24.89;-51.55;PR
22;56;10;18;Entregue;1/4/21 12:06;23/01/2021 12:06;20/01/2021 12:06;-5.81;-36.59;RN
23;64;5;31;Entregue;1/4/21 12:53;12/01/2021 12:53;22/01/2021 12:53;1.99;-61.33;RR
24;9;4;21;Entregue;1/4/21 13:02;17/01/2021 13:02;23/01/2021 13:02;-22.19;-48.79;SP
25;36;6;8;Entregue;1/4/21 13:11;15/01/2021 13:11;24/01/2021 13:11;-18.1;-44.38;MG
26;52;1;10;Entregue;1/4/21 13:15;17/01/2021 13:15;19/01/2021 13:15;-22.19;-48.79;SP
27;45;3;34;Entregue;1/4/21 13:15;15/01/2021 13:15;21/01/2021 13:15;1.41;-51.77;AP
28;29;9;15;Entregue;1/4/21 13:16;23/01/2021 13:16;23/01/2021 13:16;-22.19;-48.79;SP
29;7;4;41;Entregue;1/4/21 13:22;22/01/2021 13:22;23/01/2021 13:22;1.99;-61.33;RR
30;14;10;21;Entregue;1/4/21 13:30;14/01/2021 13:30;23/01/2021 13:30;-12.64;-55.42;MT
31;1;5;10;Entregue;1/4/21 13:38;08/01/2021 13:38;22/01/2021 13:38;-30.17;-53.5;RS
32;46;6;7;Entregue;1/4/21 13:40;07/01/2021 13:40;24/01/2021 13:40;-22.19;-48.79;SP
33;9;10;2;Entregue;1/4/21 13:45;14/01/2021 13:45;24/01/2021 13:45;-22.25;-42.66;RJ
34;21;8;10;Entregue;1/4/21 14:13;08/01/2021 14:13;20/01/2021 14:13;1.41;-51.77;AP
35;45;6;1;Entregue;1/4/21 14:23;11/01/2021 14:23;20/01/2021 14:23;-22.25;-42.66;RJ
36;38;5;9;Entregue;1/4/21 14:44;10/01/2021 14:44;19/01/2021 14:44;1.41;-51.77;AP
37;8;9;7;Entregue;1/4/21 14:49;24/01/2021 14:49;24/01/2021 14:49;-30.17;-53.5;RS
38;54;1;39;Entregue;1/4/21 14:51;24/01/2021 14:51;23/01/2021 14:51;1.99;-61.33;RR
39;62;1;20;Entregue;1/4/21 15:02;07/01/2021 15:02;23/01/2021 15:02;-9.46;-48.26;TO
40;39;10;24;Entregue;1/4/21 15:02;24/01/2021 15:02;21/01/2021 15:02;-22.19;-48.79;SP
41;25;10;21;Entregue;1/4/21 15:07;17/01/2021 15:07;23/01/2021 15:07;-6.6;-42.28;PI
42;25;8;40;Entregue;1/4/21 15:10;22/01/2021 15:10;22/01/2021 15:10;-27.45;-50.95;SC
43;24;10;39;Entregue;1/4/21 15:12;08/01/2021 15:12;22/01/2021 15:12;-12.64;-55.42;MT
44;30;8;30;Entregue;1/4/21 15:35;08/01/2021 15:35;24/01/2021 15:35;-22.19;-48.79;SP
45;44;1;39;Entregue;1/4/21 15:44;22/01/2021 15:44;21/01/2021 15:44;-3.47;-65.1;AM
46;45;5;22;Entregue;1/4/21 16:02;09/01/2021 16:02;19/01/2021 16:02;-19.19;-40.34;ES
47;18;3;10;Entregue;1/4/21 16:05;24/01/2021 16:05;22/01/2021 16:05;-3.47;-65.1;AM
48;3;8;33;Entregue;1/4/21 16:08;14/01/2021 16:08;21/01/2021 16:08;-22.25;-42.66;RJ
49;18;5;6;Entregue;1/4/21 16:28;24/01/2021 16:28;20/01/2021 16:28;-5.2;-39.53;CE
50;56;7;20;Entregue;1/4/21 16:40;24/01/2021 16:40;20/01/2021 16:40;-22.25;-42.66;RJ
51;1;4;15;Entregue;1/4/21 16:41;08/01/2021 16:41;21/01/2021 16:41;-3.47;-65.1;AM
52;19;5;19;Entregue;1/4/21 17:08;18/01/2021 17:08;23/01/2021 17:08;-20.51;-54.54;MS
53;64;7;20;Entregue;1/4/21 17:25;23/01/2021 17:25;22/01/2021 17:25;-22.19;-48.79;SP
54;8;10;16;Entregue;1/4/21 18:02;13/01/2021 18:02;22/01/2021 18:02;-22.19;-48.79;SP
55;13;6;1;Entregue;1/4/21 18:07;09/01/2021 18:07;20/01/2021 18:07;-27.45;-50.95;SC
56;24;2;20;Entregue;1/4/21 18:52;10/01/2021 18:52;23/01/2021 18:52;-9.46;-48.26;TO
57;52;4;24;Entregue;1/4/21 19:01;15/01/2021 19:01;24/01/2021 19:01;-5.42;-45.44;MA
58;60;3;42;Entregue;1/4/21 19:25;17/01/2021 19:25;19/01/2021 19:25;-3.47;-65.1;AM
59;44;8;30;Entregue;1/4/21 19:30;22/01/2021 19:30;22/01/2021 19:30;-8.38;-37.86;PE
60;1;4;17;Entregue;1/4/21 19:41;15/01/2021 19:41;20/01/2021 19:41;-10.83;-63.34;RO
61;49;9;6;Entregue;1/4/21 19:41;11/01/2021 19:41;24/01/2021 19:41;-22.19;-48.79;SP
62;52;8;40;Entregue;1/4/21 20:41;07/01/2021 20:41;20/01/2021 20:41;-5.81;-36.59;RN
63;22;5;22;Entregue;1/4/21 20:41;13/01/2021 20:41;19/01/2021 20:41;-5.42;-45.44;MA
64;9;5;32;Entregue;1/4/21 21:25;12/01/2021 21:25;21/01/2021 21:25;-22.19;-48.79;SP
65;66;5;42;Entregue;1/4/21 21:32;17/01/2021 21:32;24/01/2021 21:32;-3.47;-65.1;AM
66;22;6;10;Entregue;1/4/21 21:35;24/01/2021 21:35;21/01/2021 21:35;-8.77;-70.55;AC
67;16;10;24;Entregue;1/4/21 21:54;20/01/2021 21:54;23/01/2021 21:54;-22.19;-48.79;SP
68;57;5;39;Entregue;1/4/21 22:03;23/01/2021 22:03;24/01/2021 22:03;-5.81;-36.59;RN
69;29;10;40;Entregue;1/4/21 22:15;08/01/2021 22:15;20/01/2021 22:15;-13.29;-41.71;BA
70;62;7;17;Entregue;1/4/21 22:33;17/01/2021 22:33;21/01/2021 22:33;-22.19;-48.79;SP
71;3;1;16;Entregue;1/4/21 22:43;09/01/2021 22:43;22/01/2021 22:43;-20.51;-54.54;MS
72;65;4;31;Entregue;1/4/21 23:08;22/01/2021 23:08;19/01/2021 23:08;-22.25;-42.66;RJ
73;61;8;41;Entregue;1/4/21 23:26;21/01/2021 23:26;24/01/2021 23:26;-22.19;-48.79;SP
74;9;8;17;Entregue;1/4/21 23:39;16/01/2021 23:39;20/01/2021 23:39;-13.29;-41.71;BA
75;65;4;33;Entregue;1/4/21 23:45;10/01/2021 23:45;23/01/2021 23:45;-22.25;-42.66;RJ
76;8;1;36;Entregue;1/4/21 23:59;14/01/2021 23:59;24/01/2021 23:59;-22.19;-48.79;SP
77;2;2;32;Entregue;1/5/21 0:32;17/01/2021 00:32;24/01/2021 00:32;-19.19;-40.34;ES
78;35;9;24;Entregue;1/5/21 1:47;14/01/2021 01:47;23/01/2021 01:47;-22.25;-42.66;RJ
79;18;6;14;Entregue;1/5/21 7:31;14/01/2021 07:31;25/01/2021 07:31;-12.64;-55.42;MT
80;33;7;23;Entregue;1/5/21 8:01;22/01/2021 08:01;22/01/2021 08:01;-22.19;-48.79;SP
81;15;7;5;Entregue;1/5/21 8:04;22/01/2021 08:04;24/01/2021 08:04;-20.51;-54.54;MS
82;30;8;6;Entregue;1/5/21 8:41;25/01/2021 08:41;22/01/2021 08:41;-13.29;-41.71;BA
83;46;2;1;Entregue;1/5/21 8:46;19/01/2021 08:46;24/01/2021 08:46;-5.2;-39.53;CE
84;41;4;21;Entregue;1/5/21 9:19;12/01/2021 09:19;24/01/2021 09:19;-5.42;-45.44;MA
85;41;6;32;Entregue;1/5/21 9:46;13/01/2021 09:46;24/01/2021 09:46;-22.19;-48.79;SP
86;64;7;34;Entregue;1/5/21 11:01;19/01/2021 11:01;21/01/2021 11:01;-8.77;-70.55;AC
87;20;1;42;Entregue;1/5/21 11:05;16/01/2021 11:05;22/01/2021 11:05;-7.28;-36.72;PB
88;14;6;1;Entregue;1/5/21 11:08;25/01/2021 11:08;20/01/2021 11:08;-10.57;-37.45;SE
89;19;9;9;Entregue;1/5/21 11:23;13/01/2021 11:23;23/01/2021 11:23;-5.42;-45.44;MA
90;19;4;20;Entregue;1/5/21 11:44;08/01/2021 11:44;23/01/2021 11:44;-22.19;-48.79;SP
91;34;2;25;Entregue;1/5/21 11:54;20/01/2021 11:54;23/01/2021 11:54;-10.83;-63.34;RO
92;24;7;34;Entregue;1/5/21 12:32;15/01/2021 12:32;25/01/2021 12:32;-22.19;-48.79;SP
93;37;9;13;Entregue;1/5/21 12:34;09/01/2021 12:34;23/01/2021 12:34;-30.17;-53.5;RS
94;8;1;6;Entregue;1/5/21 12:41;09/01/2021 12:41;21/01/2021 12:41;-15.83;-47.86;DF
