Idade,Curso_Tecnico,Anos_Para_Formar,Gosta_Matematica,Gosta_Programacao,Gosta_Biologia,Gosta_Fisica,Gosta_Quimica,Gosta_Arte_Design,Gosta_Comunicacao,Gosta_Negocios,Gosta_Historia,Gosta_Geografia,Graduacao_Indicada
45,Sim,7,1,4,2,3,5,3,1,1,5,1,Licenciatura em História
31,Sim,7,2,2,1,3,5,3,4,1,5,4,Direito
24,Sim,5,1,2,2,2,2,5,5,2,3,5,Direito
37,Sim,4,2,1,4,1,3,1,5,5,1,2,Administração
35,Sim,6,3,5,5,5,2,1,3,5,1,1,Administração
39,Sim,3,4,2,3,4,5,4,4,5,1,5,Administração
27,Não,4,2,2,2,3,1,2,2,2,2,3,Design
27,Não,5,4,5,2,1,5,4,5,4,5,4,Direito
40,Não,6,4,3,4,1,2,5,2,5,1,4,Administração
40,Sim,3,5,1,4,4,2,2,4,4,3,1,Direito
19,Não,6,2,3,3,1,2,2,1,3,1,3,Educação Física
38,Não,3,1,5,2,5,2,5,4,2,3,4,Direito
18,Sim,3,5,4,4,2,5,3,5,3,3,5,Ciência da Computação
40,Não,7,2,1,5,4,2,4,5,4,4,2,Direito
46,Sim,5,2,5,1,5,2,5,3,2,1,5,Design
18,Não,4,3,5,1,1,5,5,4,5,4,1,Direito
37,Não,7,1,1,4,1,4,4,4,4,3,5,Odontologia
49,Não,7,3,3,3,3,5,5,5,1,3,1,Direito
28,Não,6,4,4,4,4,1,3,3,4,1,5,Administração
38,Não,3,1,3,4,2,3,4,4,4,4,3,Direito
41,Sim,3,3,2,1,3,4,5,1,4,4,4,Administração
43,Não,6,3,3,4,1,1,2,3,4,3,2,Administração
44,Sim,5,1,2,3,2,5,4,1,5,2,1,Administração
32,Não,3,2,1,1,4,4,5,2,3,3,3,Design
31,Sim,7,4,2,1,5,1,3,4,3,5,4,Direito
19,Não,7,5,5,1,2,5,2,4,2,1,4,Administração
23,Não,3,5,2,5,3,1,3,1,5,4,3,Administração
37,Não,3,5,5,2,5,2,5,3,5,1,5,Administração
25,Não,5,4,5,4,5,2,2,2,4,3,5,Administração
34,Não,3,1,3,5,2,3,4,4,3,4,1,Medicina
